date,CO2_avg
2020-01-02,420.2163647
2020-01-03,
2020-01-04,419.474296
2020-01-05,420.3271966
2020-01-06,418.6126655
2020-01-07,417.7789151
2020-01-08,418.3647975
2020-01-09,
2020-01-10,420.2605142
2020-01-11,420.7695762
2020-01-12,420.5509806
2020-01-13,419.5915873
2020-01-14,420.3108781
2020-01-15,420.9066371
2020-01-16,419.5833282
2020-01-17,419.4523347
2020-01-18,418.561758
2020-01-19,418.4892766
2020-01-20,420.1461576
2020-01-21,420.2889166
2020-01-22,419.824165
2020-01-23,421.3932219
2020-01-24,420.8983455
2020-01-25,419.0592389
2020-01-26,419.3471889
2020-01-27,418.5695627
2020-01-28,419.0947116
2020-01-29,419.4881739
2020-01-30,420.8166274
2020-01-31,419.2735085
2020-02-01,419.6523494
2020-02-02,423.1536161
2020-02-03,420.7820896
2020-02-04,420.1895276
2020-02-05,422.0425813
2020-02-06,421.1555288
2020-02-07,419.9741958
2020-02-08,422.2274231
2020-02-09,420.1987955
2020-02-10,421.6805031
2020-02-11,421.3271957
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,424.239497
2020-02-17,421.3305967
2020-02-18,421.1243597
2020-02-19,418.6945346
2020-02-20,419.7158728
2020-02-21,419.7898578
2020-02-22,
2020-02-23,420.6802031
2020-02-24,421.7899983
2020-02-25,421.8990033
2020-02-26,421.4153328
2020-02-27,421.0222663
2020-02-28,420.9484745
2020-02-29,422.7502073
2020-03-01,421.4806781
2020-03-02,420.1846131
2020-03-03,421.83372
2020-03-04,421.2609647
2020-03-05,
2020-03-06,
2020-03-07,420.8422607
2020-03-08,421.7755599
2020-03-09,420.1051167
2020-03-10,420.6582568
2020-03-11,421.7002152
2020-03-12,423.4902796
2020-03-13,423.9831249
2020-03-14,420.6795894
2020-03-15,422.4844269
2020-03-16,421.35672
2020-03-17,
2020-03-18,424.1652638
2020-03-19,423.7624865
2020-03-20,422.7066809
2020-03-21,422.2661979
2020-03-22,421.7412449
2020-03-23,422.2573515
2020-03-24,422.5555102
2020-03-25,422.102308
2020-03-26,422.9097825
2020-03-27,421.499232
2020-03-28,421.2148132
2020-03-29,421.0475722
2020-03-30,420.3834518
2020-03-31,
2020-04-01,423.2360788
2020-04-02,422.598506
2020-04-03,422.5227137
2020-04-04,420.7857144
2020-04-05,421.4923858
2020-04-06,421.5539553
2020-04-07,423.0189163
2020-04-08,422.3368551
2020-04-09,422.5964415
2020-04-10,422.5081818
2020-04-11,421.853561
2020-04-12,421.8183009
2020-04-13,420.7585719
2020-04-14,421.6700357
2020-04-15,422.4156992
2020-04-16,421.5963392
2020-04-17,
2020-04-18,422.2272915
2020-04-19,421.6685061
2020-04-20,
2020-04-21,423.0725831
2020-04-22,422.2461128
2020-04-23,423.3981133
2020-04-24,422.6604214
2020-04-25,422.3065761
2020-04-26,422.5393256
2020-04-27,422.2134422
2020-04-28,423.355211
2020-04-29,424.017795
2020-04-30,
2020-05-01,421.4663837
2020-05-02,421.8007824
2020-05-03,421.7737036
2020-05-04,422.7139151
2020-05-05,421.8705523
2020-05-06,421.9723053
2020-05-07,420.500077
2020-05-08,421.7019485
2020-05-09,421.8895485
2020-05-10,
2020-05-11,420.8953423
2020-05-12,
2020-05-13,420.5282866
2020-05-14,
2020-05-15,419.3681971
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,419.1038024
2020-05-20,418.5745167
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,420.2640596
2020-05-30,
2020-05-31,422.5923173
2020-06-01,
2020-06-02,414.7974346
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,411.7148838
2020-06-08,410.8947802
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,410.6829085
2020-06-16,403.0075944
2020-06-17,403.8194031
2020-06-18,
2020-06-19,
2020-06-20,406.4404271
2020-06-21,405.4202951
2020-06-22,405.6914887
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,407.3761135
2020-07-02,405.8724259
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,419.3431493
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,414.7634038
2020-08-06,414.3782691
2020-08-07,
2020-08-08,
2020-08-09,413.8700438
2020-08-10,413.615091
2020-08-11,415.3793168
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,412.9349204
2020-08-28,411.8187589
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,411.6453457
2020-09-04,411.2327869
2020-09-05,
2020-09-06,410.662693
2020-09-07,414.504361
2020-09-08,414.5346908
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,409.6842859
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,415.9905661
2020-09-21,
2020-09-22,
2020-09-23,414.9836377
2020-09-24,413.7348313
2020-09-25,413.5388118
2020-09-26,411.8355639
2020-09-27,409.8823639
2020-09-28,410.3892564
2020-09-29,410.1283527
2020-09-30,
2020-10-01,414.7906482
2020-10-02,413.4132222
2020-10-03,
2020-10-04,
2020-10-05,415.6708468
2020-10-06,414.7925147
2020-10-07,414.386589
2020-10-08,413.1150721
2020-10-09,413.2604228
2020-10-10,412.6459773
2020-10-11,411.7453394
2020-10-12,411.5909195
2020-10-13,416.809011
2020-10-14,416.5487022
2020-10-15,414.8947233
2020-10-16,415.0113898
2020-10-17,417.8210852
2020-10-18,418.7360575
2020-10-19,419.5117246
2020-10-20,419.6098566
2020-10-21,417.8060624
2020-10-22,
2020-10-23,418.8576698
2020-10-24,
2020-10-25,416.674407
2020-10-26,416.7374869
2020-10-27,417.2699605
2020-10-28,
2020-10-29,420.5612292
2020-10-30,419.1225282
2020-10-31,419.2386858
2020-11-01,419.3253524
2020-11-02,
2020-11-03,
2020-11-04,417.9767374
2020-11-05,418.4374462
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,419.2739136
2020-11-11,419.1131624
2020-11-12,
2020-11-13,
2020-11-14,417.8769649
2020-11-15,
2020-11-16,
2020-11-17,417.0438779
2020-11-18,
2020-11-19,419.4106294
2020-11-20,
2020-11-21,419.2205447
2020-11-22,419.7246053
2020-11-23,419.2987692
2020-11-24,419.8714745
2020-11-25,419.1973825
2020-11-26,421.2352362
2020-11-27,422.3781998
2020-11-28,420.681908
2020-11-29,419.027846
2020-11-30,418.7203034
2020-12-01,418.6084136
2020-12-02,418.1916533
2020-12-03,417.0811964
2020-12-04,418.1718506
2020-12-05,418.900679
2020-12-06,419.6613528
2020-12-07,
2020-12-08,419.2612853
2020-12-09,418.7255256
2020-12-10,420.1144894
2020-12-11,
2020-12-12,421.203897
2020-12-13,419.5997663
2020-12-14,420.7068455
2020-12-15,420.9716347
2020-12-16,420.5889507
2020-12-17,420.6038491
2020-12-18,420.6663379
2020-12-19,419.8223124
2020-12-20,419.5313714
2020-12-21,419.0341263
2020-12-22,421.9039324
2020-12-23,
2020-12-24,
2020-12-25,421.1460608
2020-12-26,
2020-12-27,
2020-12-28,
2020-12-29,
2020-12-30,423.0978124
2020-12-31,420.8949636
2020-01-02,430.7677563
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,428.5970713
2020-01-07,429.5452181
2020-01-08,428.5838739
2020-01-09,427.2353377
2020-01-10,423.3227824
2020-01-11,422.4772435
2020-01-12,420.6097506
2020-01-13,419.9118489
2020-01-14,425.1515855
2020-01-15,422.6804335
2020-01-16,422.6711708
2020-01-17,422.7328784
2020-01-18,421.7981993
2020-01-19,426.3544996
2020-01-20,422.4018549
2020-01-21,421.5276829
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,420.4672508
2020-01-27,420.8798404
2020-01-28,
2020-01-29,423.0452566
2020-01-30,428.7648563
2020-01-31,426.4390969
2020-02-01,423.0579994
2020-02-02,424.9162229
2020-02-03,421.6180638
2020-02-04,421.5670469
2020-02-05,421.5347607
2020-02-06,
2020-02-07,422.4901889
2020-02-08,421.3243854
2020-02-09,421.2682688
2020-02-10,
2020-02-11,428.7883211
2020-02-12,
2020-02-13,425.4218158
2020-02-14,
2020-02-15,
2020-02-16,422.8815893
2020-02-17,422.452694
2020-02-18,422.900364
2020-02-19,423.7981467
2020-02-20,
2020-02-21,428.2088711
2020-02-22,421.2249362
2020-02-23,419.8657001
2020-02-24,420.6775405
2020-02-25,427.2858153
2020-02-26,426.7379687
2020-02-27,
2020-02-28,
2020-02-29,424.2110194
2020-03-01,425.9756726
2020-03-02,424.6107611
2020-03-03,423.5888582
2020-03-04,425.7294691
2020-03-05,424.2778851
2020-03-06,422.3202077
2020-03-07,
2020-03-09,
2020-03-10,424.6727031
2020-03-11,423.0618638
2020-03-12,424.602305
2020-03-13,422.1984717
2020-03-14,422.9584059
2020-03-15,422.5187857
2020-03-16,422.2926982
2020-03-17,422.9045115
2020-03-18,424.5832281
2020-03-19,422.6012176
2020-03-20,423.3776586
2020-03-21,421.6613039
2020-03-22,424.1190578
2020-03-23,425.2227783
2020-03-24,
2020-03-25,426.8319924
2020-03-26,426.4825964
2020-03-27,421.4907664
2020-03-28,422.7739686
2020-03-29,425.1107535
2020-03-30,422.7595498
2020-03-31,421.9738518
2020-04-01,422.3564588
2020-04-02,424.5839713
2020-04-03,427.1423582
2020-04-04,422.1150863
2020-04-05,421.671754
2020-04-06,422.9339419
2020-04-07,421.7941928
2020-04-08,422.7916037
2020-04-09,424.006909
2020-04-10,424.9614655
2020-04-11,424.7618118
2020-04-12,426.7048969
2020-04-13,423.5401493
2020-04-14,426.5032954
2020-04-15,425.3335105
2020-04-16,424.174244
2020-04-17,421.6536794
2020-04-18,426.146819
2020-04-19,426.465487
2020-04-20,424.0169845
2020-04-21,422.0108072
2020-04-22,422.2733778
2020-04-23,424.2483942
2020-04-24,422.1345897
2020-04-25,423.7371185
2020-04-26,423.3218871
2020-04-27,424.9475718
2020-04-28,424.1183967
2020-04-29,423.4508662
2020-04-30,421.9922643
2020-05-01,420.0941231
2020-05-02,420.6901685
2020-05-03,425.1953535
2020-05-04,424.5247033
2020-05-05,424.0702887
2020-05-06,
2020-05-07,422.9294961
2020-05-08,421.9466152
2020-05-09,424.9674761
2020-05-10,425.3079101
2020-05-11,
2020-05-12,423.007269
2020-05-13,421.949027
2020-05-14,423.2552667
2020-05-15,424.1531029
2020-05-16,424.3498743
2020-05-17,424.7041859
2020-05-18,426.0798025
2020-05-19,420.8046825
2020-05-20,426.8996907
2020-05-21,
2020-05-22,
2020-05-23,419.9785973
2020-05-24,428.4446688
2020-05-25,428.4669575
2020-05-26,424.5706252
2020-05-27,421.2511455
2020-05-28,422.3727062
2020-05-29,425.1042438
2020-05-30,423.785521
2020-05-31,427.4897558
2020-06-01,419.7159346
2020-06-02,423.6875596
2020-06-03,424.2979451
2020-06-04,418.860827
2020-06-05,418.1106311
2020-06-06,
2020-06-07,422.1472961
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,420.9843909
2020-06-13,
2020-06-14,421.6646469
2020-06-15,418.3116976
2020-06-16,
2020-06-17,
2020-06-18,413.5849176
2020-06-19,411.7387527
2020-06-20,410.4672235
2020-06-21,416.0625203
2020-06-22,
2020-06-23,
2020-06-24,412.8533302
2020-06-25,414.4895003
2020-06-26,415.7981173
2020-06-27,
2020-06-28,420.1800173
2020-06-29,422.6978242
2020-06-30,408.9171545
2020-07-01,409.6226393
2020-07-02,417.4776212
2020-07-03,
2020-07-04,
2020-07-05,418.1452956
2020-07-06,
2020-07-07,411.9618836
2020-07-08,414.5156452
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,415.4188582
2020-07-13,412.2578775
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,415.4226329
2020-07-20,412.7856355
2020-07-21,413.9666278
2020-07-22,409.9770886
2020-07-23,
2020-07-24,413.5627473
2020-07-25,
2020-07-26,413.3910091
2020-07-27,
2020-07-28,
2020-07-29,414.9429585
2020-07-30,415.6947915
2020-07-31,414.7405055
2020-08-01,414.2219263
2020-08-02,414.246009
2020-08-03,414.6490802
2020-08-04,414.8720621
2020-08-05,
2020-08-06,415.0250695
2020-08-07,
2020-08-08,
2020-08-09,413.6030917
2020-08-10,415.2631191
2020-08-11,
2020-08-12,414.7330273
2020-08-13,414.1469828
2020-08-14,415.3726884
2020-08-15,413.5180149
2020-08-16,413.2228163
2020-08-17,412.9809585
2020-08-18,413.0630269
2020-08-19,413.7796881
2020-08-20,413.7332618
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,413.9907786
2020-08-27,417.965149
2020-08-28,415.616287
2020-08-29,413.4956582
2020-08-30,412.8686638
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,411.6456703
2020-09-04,408.8465745
2020-09-05,
2020-09-06,
2020-09-07,411.3176152
2020-09-08,412.2277946
2020-09-09,412.1502949
2020-09-10,413.9252166
2020-09-11,
2020-09-12,418.5722393
2020-09-13,416.218143
2020-09-14,412.1221236
2020-09-15,
2020-09-16,413.399481
2020-09-17,417.5276852
2020-09-18,416.8078502
2020-09-19,414.7923515
2020-09-20,414.8135449
2020-09-21,
2020-09-22,
2020-09-23,420.4138467
2020-09-24,419.4025669
2020-09-25,420.3268167
2020-09-26,419.4420239
2020-09-27,417.2993009
2020-09-28,
2020-09-29,414.3973048
2020-09-30,417.8234202
2020-10-01,417.0204556
2020-10-02,415.1592557
2020-10-03,415.1917973
2020-10-05,418.3757641
2020-10-06,417.4026828
2020-10-07,
2020-10-08,416.3506489
2020-10-09,416.8878782
2020-10-10,
2020-10-11,
2020-10-12,415.3395263
2020-10-13,415.1197358
2020-10-14,414.0421048
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,421.4894711
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,416.9597553
2020-10-23,419.0946301
2020-10-24,418.3536996
2020-10-25,421.7491578
2020-10-26,425.2122881
2020-10-27,425.8847535
2020-10-28,417.1029137
2020-10-29,420.1343999
2020-10-30,
2020-10-31,421.6905218
2020-11-01,420.975214
2020-11-02,420.1794631
2020-11-03,421.0118777
2020-11-04,420.6543098
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,420.6776476
2020-11-09,420.6673546
2020-11-10,420.9218588
2020-11-11,422.4823391
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,423.0584613
2020-11-19,416.4499437
2020-11-20,422.1564931
2020-11-21,427.3705169
2020-11-22,421.9903502
2020-11-23,422.4964217
2020-11-24,422.1699515
2020-11-25,427.9807992
2020-11-26,427.8153104
2020-11-27,423.8843825
2020-11-28,422.2019486
2020-11-29,422.2438952
2020-11-30,421.2489589
2020-12-01,
2020-12-02,421.6587647
2020-12-03,418.7404475
2020-12-04,421.5226965
2020-12-05,422.3210575
2020-12-06,423.6338683
2020-12-07,424.1248192
2020-12-08,421.3917784
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-12,426.670088
2020-12-13,422.2168534
2020-12-14,421.9698678
2020-12-15,423.9540853
2020-12-16,421.1788629
2020-12-17,
2020-12-18,423.0185059
2020-12-19,422.9035048
2020-12-20,422.0582894
2020-12-21,
2020-12-22,423.5383821
2020-12-23,429.7533247
2020-12-24,420.3666289
2020-12-25,423.2139236
2020-12-26,427.8408335
2020-12-27,424.28603
2020-12-28,428.9055231
2020-12-29,424.4156182
2020-12-30,422.9954562
2020-12-31,
2020-01-02,422.6273129
2020-01-03,424.0226474
2020-01-04,
2020-01-05,422.2347104
2020-01-06,419.1721569
2020-01-07,416.7766673
2020-01-08,421.9659258
2020-01-09,423.5793053
2020-01-10,421.6865278
2020-01-11,
2020-01-12,419.1763262
2020-01-13,421.1327044
2020-01-14,421.4597697
2020-01-15,421.4506295
2020-01-16,422.1731069
2020-01-17,422.0664129
2020-01-18,421.5943761
2020-01-19,424.2910448
2020-01-20,425.7802748
2020-01-21,419.8295676
2020-01-22,423.5388862
2020-01-23,
2020-01-24,
2020-01-25,423.3025015
2020-01-26,421.0644456
2020-01-27,418.5558142
2020-01-28,420.3536468
2020-01-29,420.087095
2020-01-30,426.5053121
2020-01-31,422.0569909
2020-02-01,421.1067669
2020-02-02,420.1928005
2020-02-03,421.9964344
2020-02-04,421.7412319
2020-02-05,420.8132883
2020-02-06,419.606732
2020-02-07,423.625402
2020-02-08,423.3979041
2020-02-09,420.3689652
2020-02-10,426.0450857
2020-02-11,422.3962776
2020-02-12,421.5699313
2020-02-13,422.0131396
2020-02-14,425.3544586
2020-02-15,417.6271696
2020-02-16,420.8392267
2020-02-17,420.6181107
2020-02-18,420.6463597
2020-02-19,422.2849773
2020-02-20,423.4909299
2020-02-21,417.9276389
2020-02-22,419.2495902
2020-02-23,419.5675363
2020-02-24,419.7995372
2020-02-25,419.1033161
2020-02-26,
2020-02-27,422.9944299
2020-02-28,422.6674192
2020-02-29,424.5866966
2020-03-01,423.1035323
2020-03-02,423.5365573
2020-03-03,424.1894397
2020-03-04,422.8159321
2020-03-05,423.0268157
2020-03-06,422.0193103
2020-03-07,423.2135762
2020-03-08,422.9193632
2020-03-09,419.8349482
2020-03-10,422.7016441
2020-03-11,423.0680412
2020-03-12,422.5185648
2020-03-13,421.5445382
2020-03-14,421.1492479
2020-03-15,422.8374802
2020-03-16,421.1949853
2020-03-17,420.2162653
2020-03-18,422.0124579
2020-03-19,421.1927635
2020-03-20,422.3300311
2020-03-21,419.9628276
2020-03-22,420.8823091
2020-03-23,423.5869553
2020-03-24,
2020-03-25,421.7775079
2020-03-26,421.5322216
2020-03-27,420.5502515
2020-03-28,422.554529
2020-03-29,423.5547392
2020-03-30,421.9772797
2020-03-31,422.9757118
2020-04-01,421.0082751
2020-04-02,422.4470366
2020-04-03,423.3612956
2020-04-04,421.5975195
2020-04-05,420.5126201
2020-04-06,421.753479
2020-04-07,421.8894892
2020-04-08,421.7954238
2020-04-09,422.2853967
2020-04-10,423.7169051
2020-04-11,422.6622054
2020-04-12,424.0996079
2020-04-13,423.0125479
2020-04-14,422.2858646
2020-04-15,422.6787109
2020-04-16,423.6741494
2020-04-17,421.4451274
2020-04-18,
2020-04-19,421.685326
2020-04-20,424.5544565
2020-04-21,421.524558
2020-04-22,421.6264783
2020-04-23,422.2071563
2020-04-24,422.7449772
2020-04-25,422.6162229
2020-04-26,423.3329805
2020-04-27,423.9451229
2020-04-28,423.9528923
2020-04-29,422.5481478
2020-04-30,421.2416079
2020-05-01,419.7957785
2020-05-02,420.0393399
2020-05-03,418.2047196
2020-05-04,425.1631493
2020-05-05,424.9083559
2020-05-06,
2020-05-07,418.8934442
2020-05-08,419.2479826
2020-05-09,420.048228
2020-05-10,425.4964622
2020-05-11,
2020-05-12,421.2696795
2020-05-13,421.1327738
2020-05-14,420.4644325
2020-05-15,420.4824121
2020-05-16,
2020-05-17,420.9433769
2020-05-18,422.0326777
2020-05-19,422.5072355
2020-05-20,422.8578572
2020-05-21,417.9940803
2020-05-22,416.7652576
2020-05-23,
2020-05-24,417.98076
2020-05-25,424.1498935
2020-05-26,424.5960097
2020-05-27,422.9720419
2020-05-28,420.8659179
2020-05-29,421.6795476
2020-05-30,
2020-05-31,
2020-06-01,420.0041043
2020-06-02,420.1874327
2020-06-03,420.1652888
2020-06-04,414.8436894
2020-06-05,416.9324267
2020-06-06,
2020-06-07,415.1667031
2020-06-08,
2020-06-09,418.4754665
2020-06-10,417.7059769
2020-06-11,417.2081223
2020-06-12,417.17059
2020-06-13,416.4634988
2020-06-14,416.4493985
2020-06-15,417.7286795
2020-06-16,418.7481298
2020-06-17,
2020-06-18,
2020-06-19,414.4065732
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,412.5071785
2020-06-24,413.3475936
2020-06-25,415.6516314
2020-06-26,413.9426138
2020-06-27,
2020-06-28,419.1576246
2020-06-29,415.6815329
2020-06-30,410.5072105
2020-07-01,406.2553428
2020-07-03,
2020-07-04,
2020-07-05,411.3131614
2020-07-06,
2020-07-07,415.3715698
2020-07-08,415.1243933
2020-07-09,
2020-07-10,414.3458151
2020-07-11,
2020-07-12,415.41067
2020-07-13,415.7693603
2020-07-14,
2020-07-15,
2020-07-16,407.5913613
2020-07-17,
2020-07-18,408.7943389
2020-07-19,415.5486386
2020-07-20,415.6739887
2020-07-21,416.7019225
2020-07-22,414.3336863
2020-07-23,414.580285
2020-07-24,416.9765608
2020-07-25,
2020-07-26,
2020-07-27,415.3403346
2020-07-28,414.2878453
2020-07-29,414.888743
2020-07-30,414.2318147
2020-07-31,412.778453
2020-08-01,414.0679076
2020-08-02,414.4754932
2020-08-03,415.4126683
2020-08-04,415.0053437
2020-08-05,414.3965509
2020-08-06,413.7870779
2020-08-07,413.9849071
2020-08-08,413.6752636
2020-08-09,413.5586024
2020-08-10,414.37184
2020-08-11,413.2402955
2020-08-12,412.5037354
2020-08-13,412.5427221
2020-08-14,413.3248291
2020-08-15,412.8775027
2020-08-16,413.0385579
2020-08-17,412.982056
2020-08-18,413.5806195
2020-08-19,413.279437
2020-08-20,413.2961112
2020-08-21,415.44821
2020-08-24,412.6503705
2020-08-25,415.0798652
2020-08-26,415.7560622
2020-08-27,414.5088559
2020-08-28,412.9367306
2020-08-29,412.4984783
2020-08-30,413.7433223
2020-08-31,
2020-09-01,
2020-09-02,416.4270829
2020-09-03,415.8008124
2020-09-04,410.8812566
2020-09-05,
2020-09-06,415.4500549
2020-09-07,412.7674774
2020-09-08,414.6564113
2020-09-09,410.5381574
2020-09-10,411.1913114
2020-09-11,
2020-09-12,411.5897297
2020-09-13,414.4451504
2020-09-14,411.4652204
2020-09-15,
2020-09-16,414.4849083
2020-09-17,414.0568966
2020-09-18,415.388577
2020-09-19,412.9558419
2020-09-20,414.9867895
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,416.5071175
2020-09-25,416.308533
2020-09-26,413.1923944
2020-09-27,
2020-09-28,412.4980326
2020-09-29,416.661841
2020-09-30,416.3600974
2020-10-01,417.130803
2020-10-02,413.1315606
2020-10-03,
2020-10-04,418.1575528
2020-10-05,416.7618996
2020-10-06,420.3271852
2020-10-07,416.711726
2020-10-08,416.3853351
2020-10-09,414.0560797
2020-10-10,419.435944
2020-10-11,415.4380687
2020-10-12,416.7138966
2020-10-13,415.3013981
2020-10-14,419.7327222
2020-10-15,416.8541493
2020-10-16,417.6326693
2020-10-17,419.8393137
2020-10-18,423.8235935
2020-10-19,
2020-10-20,
2020-10-21,416.2257961
2020-10-22,418.9188938
2020-10-23,416.9785152
2020-10-24,415.5524992
2020-10-25,421.8550028
2020-10-26,421.6002747
2020-10-27,423.8095201
2020-10-28,418.7137878
2020-10-29,418.9926804
2020-10-30,420.0534813
2020-10-31,415.8721402
2020-11-01,418.959563
2020-11-02,422.7051088
2020-11-03,419.3494801
2020-11-04,418.7469962
2020-11-05,422.1251398
2020-11-06,419.9002223
2020-11-07,
2020-11-08,419.460383
2020-11-09,419.1793235
2020-11-10,418.0430006
2020-11-11,423.8784117
2020-11-12,
2020-11-13,421.5161772
2020-11-14,
2020-11-15,418.513628
2020-11-16,421.6534288
2020-11-17,418.0409257
2020-11-18,416.4837038
2020-11-19,415.3365074
2020-11-20,421.3012165
2020-11-21,420.0801371
2020-11-22,421.6873748
2020-11-23,419.5478732
2020-11-24,418.0827593
2020-11-25,422.6583875
2020-11-26,423.1529034
2020-11-27,420.1227093
2020-11-28,418.921235
2020-11-29,419.8497109
2020-11-30,421.4159468
2020-12-01,419.2129438
2020-12-02,421.5075399
2020-12-03,422.6725199
2020-12-04,418.6507654
2020-12-05,419.5750184
2020-12-06,419.7373437
2020-12-07,422.6388981
2020-12-08,419.7998401
2020-12-09,421.6193931
2020-12-10,420.8413087
2020-12-11,
2020-12-12,424.2422558
2020-12-13,423.2139023
2020-12-14,421.5256362
2020-12-15,423.4781413
2020-12-16,422.2372561
2020-12-17,421.2313477
2020-12-18,421.5455749
2020-12-19,420.1515228
2020-12-20,421.5577985
2020-12-21,424.2425581
2020-12-22,425.5786243
2020-12-23,420.2066762
2020-12-24,424.3035957
2020-12-25,423.1295251
2020-12-26,423.2159841
2020-12-27,423.6477493
2020-12-28,422.3316495
2020-12-29,423.0447167
2020-12-30,422.5132231
2020-12-31,421.728686
